Country,Kcal per day per capita from Wheat,Total Kcal per day per capita,GDP per capita,Population (1000 people),Wheat produced per capita (kg per year),Wheat imports per capita (kg per year)
Croatia,802,3052,14289.44251,4324,180.8510638,24.51433858
Cuba,374,3277,6164.518362,11276,0,73.43029443
Cyprus,620,2661,29208.24565,1117,22.38137869,127.126231
Czech Republic,778,3292,20361.93075,10611,463.0100839,34.30402413
Democratic People's Republic of Korea,172,2103,637.7000765,24631,5.156104096,12.13917421
Denmark,597,3363,59853.25487,5575,866.5470852,141.1659193
Djibouti,929,2526,1461.937373,847,0,714.2857143
Dominica,585,3047,6939.678716,71,0,56.33802817
Dominican Republic,223,2597,5462.702479,10148,0,62.27828143
Ecuador,303,2477,5232.67146,15246,0.393545848,40.86317723
Egypt,1169,3557,2912.391632,79392,105.8922813,123.891576
El Salvador,247,2513,3698.546188,6256,0,50.99104859
Estonia,765,3214,17414.44772,1294,278.2071097,78.82534776
Ethiopia,288,2105,335.0023137,89393,32.6200038,19.39749197
Fiji,622,2930,4324.86001,868,0,124.4239631
Finland,641,3285,48670.43111,5389,180.9241047,33.77249954
France,795,3524,42452.56514,63582,566.1036142,32.44628983
French Polynesia,513,2901,27730.06984,271,0,125.4612546
Gabon,469,2781,15218.04763,1594,0,67.75407779
Gambia,346,2849,520.3273291,1735,0,40.9221902
Georgia,1164,2731,3299.934454,4374,22.17649749,154.3209877
Germany,664,3539,43768.64412,82893,275.0533821,71.97230164
Ghana,139,3003,1594.030809,24821,0,19.13702107
Greece,863,3433,26072.35609,11119,153.0713194,95.15244177
Grenada,408,2453,7426.512109,105,0,238.0952381
Guatemala,268,2502,3242.691364,14707,0.611953492,44.60461005
Guinea,126,2553,501.6920955,11162,0,10.75076151
Guinea-Bissau,85,2304,563.7895545,1624,0,7.389162562
Guyana,467,2648,3257.882777,791,0,59.41845765
Haiti,136,2105,670.9311447,10033,0,12.35921459
Honduras,295,2651,2277.360139,7777,0.128584287,41.91847756
Hungary,705,2968,13750.39954,9996,410.8643457,29.51180472
Iceland,571,3339,43613.70848,322,0,167.7018634
India,502,2459,1574.774871,1221156,71.14078791,0.013921235
Indonesia,169,2713,3471.43459,243802,0,27.03013101
Iran,1189,3058,6991.300687,75424,163.5951421,0.994378447
Iraq,1166,2489,4250.818471,31837,88.230675,128.3726482
Ireland,911,3591,49976.46261,4523,205.3946496,142.1622817
Israel,943,3619,32304.95314,7542,16.17608062,220.2333599
Italy,1033,3539,36176.62082,60729,109.3711406,127.3197319
Jamaica,572,2789,5239.806717,2755,0,75.13611615
Japan,392,2719,46310.56551,127319,5.859298298,51.53983302
Jordan,1200,3149,4284.596116,6731,2.971326697,169.8113208
Kazakhstan,737,3107,11681.50956,16098,1412.100882,10.18760094
Kenya,255,2189,816.8365947,42028,6.376701247,37.1419054
Kiribati,390,3022,1745.510941,99,0,60.60606061
Kuwait,822,3471,51397.75813,3125,0.64,124.16
Kyrgyzstan,1076,2828,1147.008208,5403,148.0658893,90.50527485
Lao People's Democratic Republic,15,2356,1236.039207,6521,0,1.99355927
Latvia,604,3293,13736.09379,2073,452.0019296,97.44331886
Lebanon,997,3181,8953.41408,4478,27.91424743,115.0066994
Lesotho,374,2595,1243.909506,2030,9.852216749,42.36453202
Liberia,145,2251,281.2267676,4080,0,11.51960784
Libya,1222,3211,6650.125206,6103,27.19973783,214.4846797
Lithuania,890,3463,14153.53282,3044,613.9947438,49.60578187
Luxembourg,764,3568,112346.4474,516,149.2248062,248.0620155
Madagascar,64,2092,457.6832972,21679,0.461275889,8.118455648
Malawi,71,2334,471.5506504,15458,0.129382844,10.67408462
Malaysia,397,2855,10050.34757,28759,0,53.06165027
Maldives,562,2722,7168.321592,332,0,105.4216867
Mali,91,2833,738.554478,14417,2.358326975,10.7511965
Malta,1000,3389,21604.72493,426,32.86384977,145.5399061
Mauritania,789,2791,1199.798064,3703,0.810153929,87.76667567
Mauritius,885,3055,9103.404615,1235,0,120.6477733
Mexico,242,3024,9799.594972,119361,30.39518771,36.00003351
Mongolia,985,2463,3181.104401,2754,158.3151779,42.84676834
Montenegro,1115,3568,7243.727293,621,3.220611916,177.1336554
Morocco,1373,3334,3094.609359,32059,187.7163979,114.8819364
Mozambique,140,2267,511.2995,24581,0.813636549,16.67954925
Myanmar,46,2528,1057.330401,52685,3.283667078,4.004934991
Namibia,244,2086,5626.643084,2218,7.213706041,26.60054103
Nepal,348,2580,684.020284,27156,64.29518338,1.067903962
Netherlands,566,3147,49966.70742,16666,70.50282011,308.7123485
New Caledonia,645,2832,40310.58375,250,0,172
New Zealand,610,3170,36967.77181,4414,86.76937019,83.59764386
Nicaragua,207,2564,1631.826646,5905,0,35.39373412
Niger,28,2546,388.3263462,16511,0.18169705,3.876203743
Nigeria,181,2724,1496.303316,164193,1.004914948,24.69045574
Norway,803,3484,99248.69606,4944,57.64563107,115.6957929
Occupied Palestinian Territory,840,2032,2375.99105,4114,4.375303841,97.22897423
Pakistan,904,2428,1202.097869,176166,143.1263694,0.357617247
Panama,308,2644,8372.577255,3740,0,50.80213904
Paraguay,236,2698,3948.90485,6573,222.7293473,5.476951164
Peru,342,2624,6103.683737,29615,7.226067871,58.78777646
Philippines,110,2608,2357.571138,95053,0,31.70862571
Poland,879,3485,13500.02198,38205,244.4444444,29.44640754
Portugal,658,3456,22447.31366,10598,5.56708813,143.5176448
Republic of Korea,405,3329,22869.10709,48733,0.902878953,100.3426836
Republic of Moldova,397,2837,1980.056901,3543,224.3861135,36.69206887
Romania,973,3363,8373.205758,21809,327.0209547,39.06644046
Russian Federation,1018,3358,13239.75019,143438,392.0857792,3.137243966
Rwanda,104,2148,570.1668425,11144,8.165829146,8.165829146
Saint Kitts and Nevis,429,2507,14184.79434,53,0,188.6792453
Saint Lucia,640,2629,7230.373548,179,0,33.51955307
Saint Vincent and the Grenadines,510,2960,6190.834708,109,0,174.3119266
Samoa,408,2872,3562.450025,187,0,64.17112299
Sao Tome and Principe,375,2676,1422.729744,183,0,54.64480874
Saudi Arabia,758,3122,24116.17763,27762,42.64822419,85.7286939
Senegal,261,2426,1075.747799,13331,0,35.25616983
Serbia,780,2724,6013.290199,9597,216.3175992,2.500781494
Sierra Leone,97,2333,499.9961984,5865,0,11.25319693
Slovakia,894,2902,17624.79828,5440,301.2867647,64.70588235
Slovenia,786,3173,24371.69902,2062,74.68477207,119.3016489
Solomon Islands,280,2473,1615.182659,538,0,35.31598513
Somalia,173,1696,107.7224994,9908,0.100928543,25.8377069
South Africa,495,3007,7734.545447,51949,38.59554563,36.74757936
Spain,562,3183,31270.81726,46514,147.8479598,103.1087415
Sri Lanka,274,2488,2828.452522,20926,0,66.09003154
Sudan (former),304,2346,1523.274392,43552,6.704628949,38.16127847
Suriname,466,2727,8236.202918,530,0,62.26415094
Swaziland,372,2275,3374.289016,1212,0.825082508,48.67986799
Sweden,576,3160,56725.85104,9449,238.4379299,53.9739655
Switzerland,652,3487,83240.76687,7915,69.86734049,90.20846494
Syrian Arab Republic,1175,3106,2947.69145,21804,176.940011,26.27958173
Tajikistan,1023,2101,834.661674,7815,93.02623161,123.2245681
Thailand,83,2757,5478.012769,66576,0.015020428,27.12689257
