Country,Population (1000 people),Wheat produced per capita (kg per year),Wheat imports per capita (kg per year),Wheat used for food per capita (kg per year),Kcal per day per capita from Wheat,GDP per capita,Total Kcal per day per capita
Lao People's Democratic Republic,6521,0,1.99355927,1.99355927,15,1236.039207,2356
Latvia,2073,452.0019296,97.44331886,72.84129281,604,13736.09379,3293
Lebanon,4478,27.91424743,115.0066994,121.9294328,997,8953.41408,3181
Lesotho,2030,9.852216749,42.36453202,46.79802956,374,1243.909506,2595
Liberia,4080,0,11.51960784,16.66666667,145,281.2267676,2251
Libya,6103,27.19973783,214.4846797,161.2321809,1222,6650.125206,3211
Lithuania,3044,613.9947438,49.60578187,113.9947438,890,14153.53282,3463
Luxembourg,516,149.2248062,248.0620155,98.8372093,764,112346.4474,3568
Madagascar,21679,0.461275889,8.118455648,8.48747636,64,457.6832972,2092
Malawi,15458,0.129382844,10.67408462,9.509639022,71,471.5506504,2334
Malaysia,28759,0,53.06165027,52.36621579,397,10050.34757,2855
Maldives,332,0,105.4216867,78.31325301,562,7168.321592,2722
Mali,14417,2.358326975,10.7511965,11.44482209,91,738.554478,2833
Malta,426,32.86384977,145.5399061,143.1924883,1000,21604.72493,3389
Mauritania,3703,0.810153929,87.76667567,98.56872806,789,1199.798064,2791
Mauritius,1235,0,120.6477733,111.7408907,885,9103.404615,3055
Mexico,119361,30.39518771,36.00003351,33.56205126,242,9799.594972,3024
Mongolia,2754,158.3151779,42.84676834,127.8140886,985,3181.104401,2463
Montenegro,621,3.220611916,177.1336554,138.4863124,1115,7243.727293,3568
Morocco,32059,187.7163979,114.8819364,177.2981066,1373,3094.609359,3334
Mozambique,24581,0.813636549,16.67954925,18.67295879,140,511.2995,2267
Myanmar,52685,3.283667078,4.004934991,6.130777261,46,1057.330401,2528
Namibia,2218,7.213706041,26.60054103,32.46167719,244,5626.643084,2086
Nepal,27156,64.29518338,1.067903962,45.18338489,348,684.020284,2580
Netherlands,16666,70.50282011,308.7123485,73.14292572,566,49966.70742,3147
New Caledonia,250,0,172,80,645,40310.58375,2832
New Zealand,4414,86.76937019,83.59764386,75.66832805,610,36967.77181,3170
Nicaragua,5905,0,35.39373412,26.24894157,207,1631.826646,2564
